============================================================
  株式シグナルレポート  2026-09-26
============================================================

【トレンドフォロー】
  銘柄       シグナル               終値     RSI       乖離率
  --------------------------------------------------
  META     🟢 BUY          777.59    84.5   +21.89%
  SOXS     🔴 SELL          33.63    32.0   -57.89%
  NVDA     ⚪ HOLD         224.58    55.4    +3.02%
  AMD      ⚪ HOLD         629.26    77.8   +21.46%
  TSM      ⚪ HOLD         451.15    66.0    +5.99%
  INTC     ⚪ HOLD         127.39    78.2   +22.99%
  AVGO     ⚪ HOLD         350.36    42.2    -4.78%
  QCOM     ⚪ HOLD         194.26    64.6    +9.69%
  MU       ⚪ HOLD        1080.53    66.5   +11.51%
  AMAT     ⚪ HOLD         474.25    57.8    -0.62%
  AAPL     ⚪ HOLD         335.92    62.2    +3.98%
  MSFT     ⚪ HOLD         497.93    52.3    +3.33%
  GOOGL    ⚪ HOLD         342.36    48.3    -0.84%
  AMZN     ⚪ HOLD         249.38    42.5    -2.21%
  SOXL     ⚪ HOLD         146.33    64.7   +11.96%
  TQQQ     ⚪ HOLD          78.58    65.6    +8.43%
  SQQQ     ⚪ HOLD          34.18    33.3   -10.17%
  UPRO     ⚪ HOLD         149.99    52.5    +1.43%
  SPXS     ⚪ HOLD          24.26    46.5    -2.11%
  FNGG     ⚪ HOLD         281.69    65.9    +8.46%
  TECL     ⚪ HOLD         229.23    66.0   +11.75%
  TSLL     ⚪ HOLD          10.25    60.5    +6.04%
  NUGT     ⚪ HOLD         163.91    41.3    -3.82%
  SOFI     ⚪ HOLD          16.80    42.0    -4.12%
  CLSK     ⚪ HOLD          14.26    57.9    +7.35%
  MSTR     ⚪ HOLD         161.61    67.1   +24.80%
  COIN     ⚪ HOLD         199.21    60.9   +12.37%
  SPY      ⚪ HOLD         767.18    54.0    +0.82%
  QQQ      ⚪ HOLD         741.10    66.9    +3.32%
  IWM      ⚪ HOLD         281.66    31.9    -3.16%

【逆張り】
  銘柄       シグナル               終値     RSI       乖離率
  --------------------------------------------------
  NVDA     ⚪ HOLD         224.58    55.4    +3.02%
  AMD      ⚪ HOLD         629.26    77.8   +21.46%
  TSM      ⚪ HOLD         451.15    66.0    +5.99%
  INTC     ⚪ HOLD         127.39    78.2   +22.99%
  AVGO     ⚪ HOLD         350.36    42.2    -4.78%
  QCOM     ⚪ HOLD         194.26    64.6    +9.69%
  MU       ⚪ HOLD        1080.53    66.5   +11.51%
  AMAT     ⚪ HOLD         474.25    57.8    -0.62%
  AAPL     ⚪ HOLD         335.92    62.2    +3.98%
  MSFT     ⚪ HOLD         497.93    52.3    +3.33%
  GOOGL    ⚪ HOLD         342.36    48.3    -0.84%
  META     ⚪ HOLD         777.59    84.5   +21.89%
  AMZN     ⚪ HOLD         249.38    42.5    -2.21%
  SOXL     ⚪ HOLD         146.33    64.7   +11.96%
  SOXS     ⚪ HOLD          33.63    32.0   -57.89%
  TQQQ     ⚪ HOLD          78.58    65.6    +8.43%
  SQQQ     ⚪ HOLD          34.18    33.3   -10.17%
  UPRO     ⚪ HOLD         149.99    52.5    +1.43%
  SPXS     ⚪ HOLD          24.26    46.5    -2.11%
  FNGG     ⚪ HOLD         281.69    65.9    +8.46%
  TECL     ⚪ HOLD         229.23    66.0   +11.75%
  TSLL     ⚪ HOLD          10.25    60.5    +6.04%
  NUGT     ⚪ HOLD         163.91    41.3    -3.82%
  SOFI     ⚪ HOLD          16.80    42.0    -4.12%
  CLSK     ⚪ HOLD          14.26    57.9    +7.35%
  MSTR     ⚪ HOLD         161.61    67.1   +24.80%
  COIN     ⚪ HOLD         199.21    60.9   +12.37%
  SPY      ⚪ HOLD         767.18    54.0    +0.82%
  QQQ      ⚪ HOLD         741.10    66.9    +3.32%
  IWM      ⚪ HOLD         281.66    31.9    -3.16%

============================================================
