============================================================
  株式シグナルレポート  2026-07-30
============================================================

【トレンドフォロー】
  銘柄       シグナル               終値     RSI       乖離率
  --------------------------------------------------
  SPY      🔴 SELL         729.46    33.6    -1.49%
  QQQ      🔴 SELL         661.73    26.6    -5.86%
  NVDA     ⚪ HOLD         190.01    33.7    -6.84%
  AMD      ⚪ HOLD         429.56    30.2   -13.89%
  TSM      ⚪ HOLD         374.67    28.7   -10.21%
  INTC     ⚪ HOLD          81.88    26.4   -22.64%
  AVGO     ⚪ HOLD         370.32    40.9    -4.43%
  QCOM     ⚪ HOLD         155.68    27.2   -15.46%
  MU       ⚪ HOLD         739.00    30.6   -19.42%
  AMAT     ⚪ HOLD         436.45    27.6   -19.13%
  AAPL     ⚪ HOLD         338.19    68.3    +8.10%
  MSFT     ⚪ HOLD         390.54    50.8    -0.51%
  GOOGL    ⚪ HOLD         336.71    44.1    -4.14%
  META     ⚪ HOLD         585.61    36.4    -4.26%
  AMZN     ⚪ HOLD         226.65    27.8    -6.75%
  SOXL     ⚪ HOLD          91.99    27.9   -46.59%
  SOXS     ⚪ HOLD          73.15    56.0   -76.80%
  TQQQ     ⚪ HOLD          57.75    26.4   -18.67%
  SQQQ     ⚪ HOLD          49.44    74.7   +16.81%
  UPRO     ⚪ HOLD         131.01    32.2    -5.55%
  SPXS     ⚪ HOLD          28.58    67.9    +4.77%
  FNGG     ⚪ HOLD         208.75    32.0    -7.77%
  TECL     ⚪ HOLD         150.12    28.2   -21.93%
  TSLL     ⚪ HOLD           6.74    20.3   -41.62%
  NUGT     ⚪ HOLD         109.73    43.2   -13.32%
  SOFI     ⚪ HOLD          15.25    29.3   -11.64%
  CLSK     ⚪ HOLD          12.01    34.5   -16.15%
  MSTR     ⚪ HOLD          93.33    43.1   -13.49%
  COIN     ⚪ HOLD         160.09    47.3    -3.28%
  IWM      ⚪ HOLD         288.57    37.2    -1.03%

【逆張り】
  銘柄       シグナル               終値     RSI       乖離率
  --------------------------------------------------
  NVDA     ⚪ HOLD         190.01    33.7    -6.84%
  AMD      ⚪ HOLD         429.56    30.2   -13.89%
  TSM      ⚪ HOLD         374.67    28.7   -10.21%
  INTC     ⚪ HOLD          81.88    26.4   -22.64%
  AVGO     ⚪ HOLD         370.32    40.9    -4.43%
  QCOM     ⚪ HOLD         155.68    27.2   -15.46%
  MU       ⚪ HOLD         739.00    30.6   -19.42%
  AMAT     ⚪ HOLD         436.45    27.6   -19.13%
  AAPL     ⚪ HOLD         338.19    68.3    +8.10%
  MSFT     ⚪ HOLD         390.54    50.8    -0.51%
  GOOGL    ⚪ HOLD         336.71    44.1    -4.14%
  META     ⚪ HOLD         585.61    36.4    -4.26%
  AMZN     ⚪ HOLD         226.65    27.8    -6.75%
  SOXL     ⚪ HOLD          91.99    27.9   -46.59%
  SOXS     ⚪ HOLD          73.15    56.0   -76.80%
  TQQQ     ⚪ HOLD          57.75    26.4   -18.67%
  SQQQ     ⚪ HOLD          49.44    74.7   +16.81%
  UPRO     ⚪ HOLD         131.01    32.2    -5.55%
  SPXS     ⚪ HOLD          28.58    67.9    +4.77%
  FNGG     ⚪ HOLD         208.75    32.0    -7.77%
  TECL     ⚪ HOLD         150.12    28.2   -21.93%
  TSLL     ⚪ HOLD           6.74    20.3   -41.62%
  NUGT     ⚪ HOLD         109.73    43.2   -13.32%
  SOFI     ⚪ HOLD          15.25    29.3   -11.64%
  CLSK     ⚪ HOLD          12.01    34.5   -16.15%
  MSTR     ⚪ HOLD          93.33    43.1   -13.49%
  COIN     ⚪ HOLD         160.09    47.3    -3.28%
  SPY      ⚪ HOLD         729.46    33.6    -1.49%
  QQQ      ⚪ HOLD         661.73    26.6    -5.86%
  IWM      ⚪ HOLD         288.57    37.2    -1.03%

============================================================
