============================================================
  株式シグナルレポート  2026-09-22
============================================================

【トレンドフォロー】
  銘柄       シグナル               終値     RSI       乖離率
  --------------------------------------------------
  META     🟢 BUY          665.75    67.9    +8.53%
  MSTR     🟢 BUY          153.92    68.4   +26.48%
  NVDA     ⚪ HOLD         222.27    55.4    +2.85%
  AMD      ⚪ HOLD         559.82    70.5   +13.02%
  TSM      ⚪ HOLD         434.67    59.7    +3.36%
  INTC     ⚪ HOLD         108.60    65.9    +9.63%
  AVGO     ⚪ HOLD         357.61    47.7    -3.57%
  QCOM     ⚪ HOLD         177.72    53.6    +2.78%
  MU       ⚪ HOLD        1015.80    61.2    +7.40%
  AMAT     ⚪ HOLD         444.57    45.8    -7.08%
  AAPL     ⚪ HOLD         336.13    67.5    +5.11%
  MSFT     ⚪ HOLD         493.78    50.0    +3.31%
  GOOGL    ⚪ HOLD         349.54    58.4    +1.31%
  AMZN     ⚪ HOLD         253.71    48.1    -0.70%
  SOXL     ⚪ HOLD         123.67    55.6    -2.82%
  SOXS     ⚪ HOLD          41.49    38.9   -54.52%
  TQQQ     ⚪ HOLD          72.64    56.9    +2.13%
  SQQQ     ⚪ HOLD          37.87    41.8    -4.16%
  UPRO     ⚪ HOLD         147.19    48.8    -0.04%
  SPXS     ⚪ HOLD          25.18    50.5    -0.56%
  FNGG     ⚪ HOLD         266.88    57.2    +4.46%
  TECL     ⚪ HOLD         211.40    59.5    +5.93%
  TSLL     ⚪ HOLD           9.63    53.2    +0.31%
  NUGT     ⚪ HOLD         176.52    47.8    +3.55%
  SOFI     ⚪ HOLD          16.96    41.7    -4.01%
  CLSK     ⚪ HOLD          14.47    64.3   +11.45%
  COIN     ⚪ HOLD         194.25    59.7   +12.75%
  SPY      ⚪ HOLD         761.69    50.8    +0.38%
  QQQ      ⚪ HOLD         721.45    58.6    +1.27%
  IWM      ⚪ HOLD         284.10    31.6    -2.83%

【逆張り】
  銘柄       シグナル               終値     RSI       乖離率
  --------------------------------------------------
  SOXS     🔴 SELL          41.49    38.9   -54.52%
  SQQQ     🔴 SELL          37.87    41.8    -4.16%
  NVDA     ⚪ HOLD         222.27    55.4    +2.85%
  AMD      ⚪ HOLD         559.82    70.5   +13.02%
  TSM      ⚪ HOLD         434.67    59.7    +3.36%
  INTC     ⚪ HOLD         108.60    65.9    +9.63%
  AVGO     ⚪ HOLD         357.61    47.7    -3.57%
  QCOM     ⚪ HOLD         177.72    53.6    +2.78%
  MU       ⚪ HOLD        1015.80    61.2    +7.40%
  AMAT     ⚪ HOLD         444.57    45.8    -7.08%
  AAPL     ⚪ HOLD         336.13    67.5    +5.11%
  MSFT     ⚪ HOLD         493.78    50.0    +3.31%
  GOOGL    ⚪ HOLD         349.54    58.4    +1.31%
  META     ⚪ HOLD         665.75    67.9    +8.53%
  AMZN     ⚪ HOLD         253.71    48.1    -0.70%
  SOXL     ⚪ HOLD         123.67    55.6    -2.82%
  TQQQ     ⚪ HOLD          72.64    56.9    +2.13%
  UPRO     ⚪ HOLD         147.19    48.8    -0.04%
  SPXS     ⚪ HOLD          25.18    50.5    -0.56%
  FNGG     ⚪ HOLD         266.88    57.2    +4.46%
  TECL     ⚪ HOLD         211.40    59.5    +5.93%
  TSLL     ⚪ HOLD           9.63    53.2    +0.31%
  NUGT     ⚪ HOLD         176.52    47.8    +3.55%
  SOFI     ⚪ HOLD          16.96    41.7    -4.01%
  CLSK     ⚪ HOLD          14.47    64.3   +11.45%
  MSTR     ⚪ HOLD         153.92    68.4   +26.48%
  COIN     ⚪ HOLD         194.25    59.7   +12.75%
  SPY      ⚪ HOLD         761.69    50.8    +0.38%
  QQQ      ⚪ HOLD         721.45    58.6    +1.27%
  IWM      ⚪ HOLD         284.10    31.6    -2.83%

============================================================
