============================================================
  株式シグナルレポート  2026-08-13
============================================================

【トレンドフォロー】
  銘柄       シグナル               終値     RSI       乖離率
  --------------------------------------------------
  AAPL     🔴 SELL         302.25    35.4    -2.98%
  SOXS     🔴 SELL          40.97    37.0   -80.43%
  SPXS     🔴 SELL          24.04    33.4    -8.44%
  NVDA     ⚪ HOLD         224.09    65.8    +7.64%
  AMD      ⚪ HOLD         482.93    47.1    -2.05%
  TSM      ⚪ HOLD         429.15    60.5    +2.94%
  INTC     ⚪ HOLD         100.95    52.9    -1.61%
  AVGO     ⚪ HOLD         416.05    60.5    +4.73%
  QCOM     ⚪ HOLD         163.07    46.9    -6.50%
  MU       ⚪ HOLD         911.29    53.2    +1.27%
  AMAT     ⚪ HOLD         548.15    53.9    +2.41%
  MSFT     ⚪ HOLD         492.43    71.5   +14.24%
  GOOGL    ⚪ HOLD         343.54    44.4    -2.67%
  META     ⚪ HOLD         578.85    42.0    -3.61%
  AMZN     ⚪ HOLD         267.28    56.5    +5.19%
  SOXL     ⚪ HOLD         142.16    51.2    -8.80%
  TQQQ     ⚪ HOLD          74.60    59.0    +4.71%
  SQQQ     ⚪ HOLD          37.32    39.0    -9.16%
  UPRO     ⚪ HOLD         154.55    66.3    +7.70%
  FNGG     ⚪ HOLD         259.98    63.8   +10.05%
  TECL     ⚪ HOLD         214.05    62.0    +9.59%
  TSLL     ⚪ HOLD           8.05    40.4   -20.36%
  NUGT     ⚪ HOLD         164.62    77.4   +23.80%
  SOFI     ⚪ HOLD          17.94    53.7    +2.49%
  CLSK     ⚪ HOLD          12.18    41.7   -11.63%
  MSTR     ⚪ HOLD          94.83    45.3    -8.37%
  COIN     ⚪ HOLD         149.04    43.4    -6.51%
  SPY      ⚪ HOLD         772.49    67.5    +2.94%
  QQQ      ⚪ HOLD         723.70    60.3    +2.38%
  IWM      ⚪ HOLD         302.71    62.9    +2.80%

【逆張り】
  銘柄       シグナル               終値     RSI       乖離率
  --------------------------------------------------
  NVDA     ⚪ HOLD         224.09    65.8    +7.64%
  AMD      ⚪ HOLD         482.93    47.1    -2.05%
  TSM      ⚪ HOLD         429.15    60.5    +2.94%
  INTC     ⚪ HOLD         100.95    52.9    -1.61%
  AVGO     ⚪ HOLD         416.05    60.5    +4.73%
  QCOM     ⚪ HOLD         163.07    46.9    -6.50%
  MU       ⚪ HOLD         911.29    53.2    +1.27%
  AMAT     ⚪ HOLD         548.15    53.9    +2.41%
  AAPL     ⚪ HOLD         302.25    35.4    -2.98%
  MSFT     ⚪ HOLD         492.43    71.5   +14.24%
  GOOGL    ⚪ HOLD         343.54    44.4    -2.67%
  META     ⚪ HOLD         578.85    42.0    -3.61%
  AMZN     ⚪ HOLD         267.28    56.5    +5.19%
  SOXL     ⚪ HOLD         142.16    51.2    -8.80%
  SOXS     ⚪ HOLD          40.97    37.0   -80.43%
  TQQQ     ⚪ HOLD          74.60    59.0    +4.71%
  SQQQ     ⚪ HOLD          37.32    39.0    -9.16%
  UPRO     ⚪ HOLD         154.55    66.3    +7.70%
  SPXS     ⚪ HOLD          24.04    33.4    -8.44%
  FNGG     ⚪ HOLD         259.98    63.8   +10.05%
  TECL     ⚪ HOLD         214.05    62.0    +9.59%
  TSLL     ⚪ HOLD           8.05    40.4   -20.36%
  NUGT     ⚪ HOLD         164.62    77.4   +23.80%
  SOFI     ⚪ HOLD          17.94    53.7    +2.49%
  CLSK     ⚪ HOLD          12.18    41.7   -11.63%
  MSTR     ⚪ HOLD          94.83    45.3    -8.37%
  COIN     ⚪ HOLD         149.04    43.4    -6.51%
  SPY      ⚪ HOLD         772.49    67.5    +2.94%
  QQQ      ⚪ HOLD         723.70    60.3    +2.38%
  IWM      ⚪ HOLD         302.71    62.9    +2.80%

============================================================
