============================================================
  株式シグナルレポート  2026-08-21
============================================================

【トレンドフォロー】
  銘柄       シグナル               終値     RSI       乖離率
  --------------------------------------------------
  NUGT     🟢 BUY          196.06    76.5   +37.08%
  NVDA     ⚪ HOLD         216.85    51.8    +2.49%
  AMD      ⚪ HOLD         469.46    43.2    -4.44%
  TSM      ⚪ HOLD         416.00    48.3    -0.47%
  INTC     ⚪ HOLD          92.13    39.0    -9.22%
  AVGO     ⚪ HOLD         364.03    30.1    -7.53%
  QCOM     ⚪ HOLD         160.74    44.3    -6.17%
  MU       ⚪ HOLD         974.33    57.7    +6.31%
  AMAT     ⚪ HOLD         496.21    42.0    -6.18%
  AAPL     ⚪ HOLD         311.30    48.9    +0.10%
  MSFT     ⚪ HOLD         481.15    59.4    +8.23%
  GOOGL    ⚪ HOLD         340.67    41.8    -2.86%
  META     ⚪ HOLD         545.83    33.2    -7.62%
  AMZN     ⚪ HOLD         260.11    48.6    +1.51%
  SOXL     ⚪ HOLD         122.21    41.0   -18.75%
  SOXS     ⚪ HOLD          46.25    47.1   -72.17%
  TQQQ     ⚪ HOLD          70.48    45.0    -2.06%
  SQQQ     ⚪ HOLD          39.37    51.8    -2.01%
  UPRO     ⚪ HOLD         148.28    46.5    +1.57%
  SPXS     ⚪ HOLD          25.04    51.8    -2.72%
  FNGG     ⚪ HOLD         254.56    52.8    +4.66%
  TECL     ⚪ HOLD         194.13    44.8    -2.15%
  TSLL     ⚪ HOLD           8.88    52.1    -9.03%
  SOFI     ⚪ HOLD          17.92    50.5    +1.39%
  CLSK     ⚪ HOLD          12.60    49.4    -5.44%
  MSTR     ⚪ HOLD         112.39    67.1    +9.57%
  COIN     ⚪ HOLD         172.35    65.8    +8.75%
  SPY      ⚪ HOLD         762.60    48.2    +0.92%
  QQQ      ⚪ HOLD         710.93    46.7    +0.01%
  IWM      ⚪ HOLD         297.67    46.0    +0.44%

【逆張り】
  銘柄       シグナル               終値     RSI       乖離率
  --------------------------------------------------
  SOFI     🔴 SELL          17.92    50.5    +1.39%
  NVDA     ⚪ HOLD         216.85    51.8    +2.49%
  AMD      ⚪ HOLD         469.46    43.2    -4.44%
  TSM      ⚪ HOLD         416.00    48.3    -0.47%
  INTC     ⚪ HOLD          92.13    39.0    -9.22%
  AVGO     ⚪ HOLD         364.03    30.1    -7.53%
  QCOM     ⚪ HOLD         160.74    44.3    -6.17%
  MU       ⚪ HOLD         974.33    57.7    +6.31%
  AMAT     ⚪ HOLD         496.21    42.0    -6.18%
  AAPL     ⚪ HOLD         311.30    48.9    +0.10%
  MSFT     ⚪ HOLD         481.15    59.4    +8.23%
  GOOGL    ⚪ HOLD         340.67    41.8    -2.86%
  META     ⚪ HOLD         545.83    33.2    -7.62%
  AMZN     ⚪ HOLD         260.11    48.6    +1.51%
  SOXL     ⚪ HOLD         122.21    41.0   -18.75%
  SOXS     ⚪ HOLD          46.25    47.1   -72.17%
  TQQQ     ⚪ HOLD          70.48    45.0    -2.06%
  SQQQ     ⚪ HOLD          39.37    51.8    -2.01%
  UPRO     ⚪ HOLD         148.28    46.5    +1.57%
  SPXS     ⚪ HOLD          25.04    51.8    -2.72%
  FNGG     ⚪ HOLD         254.56    52.8    +4.66%
  TECL     ⚪ HOLD         194.13    44.8    -2.15%
  TSLL     ⚪ HOLD           8.88    52.1    -9.03%
  NUGT     ⚪ HOLD         196.06    76.5   +37.08%
  CLSK     ⚪ HOLD          12.60    49.4    -5.44%
  MSTR     ⚪ HOLD         112.39    67.1    +9.57%
  COIN     ⚪ HOLD         172.35    65.8    +8.75%
  SPY      ⚪ HOLD         762.60    48.2    +0.92%
  QQQ      ⚪ HOLD         710.93    46.7    +0.01%
  IWM      ⚪ HOLD         297.67    46.0    +0.44%

============================================================
