============================================================
  株式シグナルレポート  2026-07-27
============================================================

【トレンドフォロー】
  銘柄       シグナル               終値     RSI       乖離率
  --------------------------------------------------
  INTC     🔴 SELL          92.32    33.6   -15.29%
  QQQ      🔴 SELL         684.23    35.4    -3.33%
  NVDA     ⚪ HOLD         206.84    51.4    +0.65%
  AMD      ⚪ HOLD         521.95    48.3    +3.28%
  TSM      ⚪ HOLD         403.41    39.6    -4.40%
  AVGO     ⚪ HOLD         381.92    47.7    -1.82%
  QCOM     ⚪ HOLD         166.97    33.0   -11.02%
  MU       ⚪ HOLD         920.95    45.7    -1.33%
  AMAT     ⚪ HOLD         536.25    42.5    -2.52%
  AAPL     ⚪ HOLD         333.02    66.6    +7.87%
  MSFT     ⚪ HOLD         381.70    43.2    -2.82%
  GOOGL    ⚪ HOLD         319.74    28.7    -9.76%
  META     ⚪ HOLD         595.19    39.5    -3.23%
  AMZN     ⚪ HOLD         232.11    33.1    -5.35%
  SOXL     ⚪ HOLD         136.81    37.7   -25.01%
  SOXS     ⚪ HOLD          51.53    38.5   -85.53%
  TQQQ     ⚪ HOLD          64.00    34.4   -11.92%
  SQQQ     ⚪ HOLD          44.79    64.5    +7.80%
  UPRO     ⚪ HOLD         136.27    40.2    -2.20%
  SPXS     ⚪ HOLD          27.49    59.0    +1.08%
  FNGG     ⚪ HOLD         216.99    37.2    -4.93%
  TECL     ⚪ HOLD         177.06    39.0   -10.24%
  TSLL     ⚪ HOLD           7.42    22.6   -39.56%
  NUGT     ⚪ HOLD         114.30    47.9   -11.32%
  SOFI     ⚪ HOLD          16.46    36.9    -5.51%
  CLSK     ⚪ HOLD          14.52    51.1    +0.03%
  MSTR     ⚪ HOLD          91.67    39.1   -16.53%
  COIN     ⚪ HOLD         158.29    46.3    -4.41%
  SPY      ⚪ HOLD         738.93    42.1    -0.31%
  IWM      ⚪ HOLD         291.17    41.6    -0.13%

【逆張り】
  銘柄       シグナル               終値     RSI       乖離率
  --------------------------------------------------
  NVDA     ⚪ HOLD         206.84    51.4    +0.65%
  AMD      ⚪ HOLD         521.95    48.3    +3.28%
  TSM      ⚪ HOLD         403.41    39.6    -4.40%
  INTC     ⚪ HOLD          92.32    33.6   -15.29%
  AVGO     ⚪ HOLD         381.92    47.7    -1.82%
  QCOM     ⚪ HOLD         166.97    33.0   -11.02%
  MU       ⚪ HOLD         920.95    45.7    -1.33%
  AMAT     ⚪ HOLD         536.25    42.5    -2.52%
  AAPL     ⚪ HOLD         333.02    66.6    +7.87%
  MSFT     ⚪ HOLD         381.70    43.2    -2.82%
  GOOGL    ⚪ HOLD         319.74    28.7    -9.76%
  META     ⚪ HOLD         595.19    39.5    -3.23%
  AMZN     ⚪ HOLD         232.11    33.1    -5.35%
  SOXL     ⚪ HOLD         136.81    37.7   -25.01%
  SOXS     ⚪ HOLD          51.53    38.5   -85.53%
  TQQQ     ⚪ HOLD          64.00    34.4   -11.92%
  SQQQ     ⚪ HOLD          44.79    64.5    +7.80%
  UPRO     ⚪ HOLD         136.27    40.2    -2.20%
  SPXS     ⚪ HOLD          27.49    59.0    +1.08%
  FNGG     ⚪ HOLD         216.99    37.2    -4.93%
  TECL     ⚪ HOLD         177.06    39.0   -10.24%
  TSLL     ⚪ HOLD           7.42    22.6   -39.56%
  NUGT     ⚪ HOLD         114.30    47.9   -11.32%
  SOFI     ⚪ HOLD          16.46    36.9    -5.51%
  CLSK     ⚪ HOLD          14.52    51.1    +0.03%
  MSTR     ⚪ HOLD          91.67    39.1   -16.53%
  COIN     ⚪ HOLD         158.29    46.3    -4.41%
  SPY      ⚪ HOLD         738.93    42.1    -0.31%
  QQQ      ⚪ HOLD         684.23    35.4    -3.33%
  IWM      ⚪ HOLD         291.17    41.6    -0.13%

============================================================
