============================================================
  株式シグナルレポート  2026-09-11
============================================================

【トレンドフォロー】
  銘柄       シグナル               終値     RSI       乖離率
  --------------------------------------------------
  NVDA     ⚪ HOLD         223.67    53.8    +3.48%
  AMD      ⚪ HOLD         521.10    66.5    +7.55%
  TSM      ⚪ HOLD         435.36    62.9    +3.67%
  INTC     ⚪ HOLD         106.24    71.4    +8.88%
  AVGO     ⚪ HOLD         364.38    43.1    -4.02%
  QCOM     ⚪ HOLD         176.40    69.8    +4.51%
  MU       ⚪ HOLD        1027.77    64.9    +9.43%
  AMAT     ⚪ HOLD         468.85    45.8    -5.79%
  AAPL     ⚪ HOLD         315.34    47.8    +0.34%
  MSFT     ⚪ HOLD         491.65    50.2    +4.51%
  GOOGL    ⚪ HOLD         330.65    36.1    -4.28%
  META     ⚪ HOLD         653.69    77.7   +10.47%
  AMZN     ⚪ HOLD         252.40    40.4    -1.85%
  SOXL     ⚪ HOLD         125.87    54.5    -5.81%
  SOXS     ⚪ HOLD          43.24    39.5   -60.60%
  TQQQ     ⚪ HOLD          71.55    50.0    -0.08%
  SQQQ     ⚪ HOLD          38.64    48.3    -2.31%
  UPRO     ⚪ HOLD         147.19    43.2    -0.52%
  SPXS     ⚪ HOLD          25.20    56.1    -0.23%
  FNGG     ⚪ HOLD         261.81    51.9    +3.66%
  TECL     ⚪ HOLD         207.20    56.6    +4.10%
  TSLL     ⚪ HOLD           9.85    55.5    +2.22%
  NUGT     ⚪ HOLD         192.46    55.2   +14.20%
  SOFI     ⚪ HOLD          17.33    42.6    -3.24%
  CLSK     ⚪ HOLD          13.28    58.0    +3.38%
  MSTR     ⚪ HOLD         132.70    57.8   +14.11%
  COIN     ⚪ HOLD         174.72    49.7    +2.84%
  SPY      ⚪ HOLD         762.40    44.8    +0.19%
  QQQ      ⚪ HOLD         716.31    51.8    +0.52%
  IWM      ⚪ HOLD         290.64    36.1    -1.79%

【逆張り】
  銘柄       シグナル               終値     RSI       乖離率
  --------------------------------------------------
  SOXS     🔴 SELL          43.24    39.5   -60.60%
  NVDA     ⚪ HOLD         223.67    53.8    +3.48%
  AMD      ⚪ HOLD         521.10    66.5    +7.55%
  TSM      ⚪ HOLD         435.36    62.9    +3.67%
  INTC     ⚪ HOLD         106.24    71.4    +8.88%
  AVGO     ⚪ HOLD         364.38    43.1    -4.02%
  QCOM     ⚪ HOLD         176.40    69.8    +4.51%
  MU       ⚪ HOLD        1027.77    64.9    +9.43%
  AMAT     ⚪ HOLD         468.85    45.8    -5.79%
  AAPL     ⚪ HOLD         315.34    47.8    +0.34%
  MSFT     ⚪ HOLD         491.65    50.2    +4.51%
  GOOGL    ⚪ HOLD         330.65    36.1    -4.28%
  META     ⚪ HOLD         653.69    77.7   +10.47%
  AMZN     ⚪ HOLD         252.40    40.4    -1.85%
  SOXL     ⚪ HOLD         125.87    54.5    -5.81%
  TQQQ     ⚪ HOLD          71.55    50.0    -0.08%
  SQQQ     ⚪ HOLD          38.64    48.3    -2.31%
  UPRO     ⚪ HOLD         147.19    43.2    -0.52%
  SPXS     ⚪ HOLD          25.20    56.1    -0.23%
  FNGG     ⚪ HOLD         261.81    51.9    +3.66%
  TECL     ⚪ HOLD         207.20    56.6    +4.10%
  TSLL     ⚪ HOLD           9.85    55.5    +2.22%
  NUGT     ⚪ HOLD         192.46    55.2   +14.20%
  SOFI     ⚪ HOLD          17.33    42.6    -3.24%
  CLSK     ⚪ HOLD          13.28    58.0    +3.38%
  MSTR     ⚪ HOLD         132.70    57.8   +14.11%
  COIN     ⚪ HOLD         174.72    49.7    +2.84%
  SPY      ⚪ HOLD         762.40    44.8    +0.19%
  QQQ      ⚪ HOLD         716.31    51.8    +0.52%
  IWM      ⚪ HOLD         290.64    36.1    -1.79%

============================================================
