============================================================
  株式シグナルレポート  2026-07-29
============================================================

【トレンドフォロー】
  銘柄       シグナル               終値     RSI       乖離率
  --------------------------------------------------
  QQQ      🔴 SELL         675.49    31.6    -4.19%
  NVDA     ⚪ HOLD         197.01    40.2    -3.75%
  AMD      ⚪ HOLD         454.62    34.0    -9.52%
  TSM      ⚪ HOLD         392.31    34.9    -6.47%
  INTC     ⚪ HOLD          86.30    29.2   -19.40%
  AVGO     ⚪ HOLD         380.91    47.1    -1.92%
  QCOM     ⚪ HOLD         162.88    31.9   -12.25%
  MU       ⚪ HOLD         820.53    36.3   -11.42%
  AMAT     ⚪ HOLD         476.46    32.5   -12.57%
  AAPL     ⚪ HOLD         340.08    71.4    +9.15%
  MSFT     ⚪ HOLD         393.35    53.4    +0.18%
  GOOGL    ⚪ HOLD         333.71    41.5    -5.20%
  META     ⚪ HOLD         593.41    39.0    -3.20%
  AMZN     ⚪ HOLD         230.86    31.9    -5.34%
  SOXL     ⚪ HOLD         109.54    31.3   -37.89%
  SOXS     ⚪ HOLD          62.87    48.5   -80.82%
  TQQQ     ⚪ HOLD          61.56    31.0   -14.13%
  SQQQ     ⚪ HOLD          46.51    68.8   +10.84%
  UPRO     ⚪ HOLD         137.30    43.2    -1.29%
  SPXS     ⚪ HOLD          27.30    56.1    +0.32%
  FNGG     ⚪ HOLD         216.22    36.5    -5.07%
  TECL     ⚪ HOLD         163.03    32.9   -16.16%
  TSLL     ⚪ HOLD           7.15    21.7   -39.37%
  NUGT     ⚪ HOLD         111.68    45.2   -12.38%
  SOFI     ⚪ HOLD          16.74    41.7    -3.58%
  CLSK     ⚪ HOLD          13.48    43.2    -6.66%
  MSTR     ⚪ HOLD          96.16    46.7   -11.48%
  COIN     ⚪ HOLD         167.90    54.9    +1.27%
  SPY      ⚪ HOLD         740.86    45.1    -0.03%
  IWM      ⚪ HOLD         293.37    48.1    +0.57%

【逆張り】
  銘柄       シグナル               終値     RSI       乖離率
  --------------------------------------------------
  GOOGL    🟢 BUY          333.71    41.5    -5.20%
  NVDA     ⚪ HOLD         197.01    40.2    -3.75%
  AMD      ⚪ HOLD         454.62    34.0    -9.52%
  TSM      ⚪ HOLD         392.31    34.9    -6.47%
  INTC     ⚪ HOLD          86.30    29.2   -19.40%
  AVGO     ⚪ HOLD         380.91    47.1    -1.92%
  QCOM     ⚪ HOLD         162.88    31.9   -12.25%
  MU       ⚪ HOLD         820.53    36.3   -11.42%
  AMAT     ⚪ HOLD         476.46    32.5   -12.57%
  AAPL     ⚪ HOLD         340.08    71.4    +9.15%
  MSFT     ⚪ HOLD         393.35    53.4    +0.18%
  META     ⚪ HOLD         593.41    39.0    -3.20%
  AMZN     ⚪ HOLD         230.86    31.9    -5.34%
  SOXL     ⚪ HOLD         109.54    31.3   -37.89%
  SOXS     ⚪ HOLD          62.87    48.5   -80.82%
  TQQQ     ⚪ HOLD          61.56    31.0   -14.13%
  SQQQ     ⚪ HOLD          46.51    68.8   +10.84%
  UPRO     ⚪ HOLD         137.30    43.2    -1.29%
  SPXS     ⚪ HOLD          27.30    56.1    +0.32%
  FNGG     ⚪ HOLD         216.22    36.5    -5.07%
  TECL     ⚪ HOLD         163.03    32.9   -16.16%
  TSLL     ⚪ HOLD           7.15    21.7   -39.37%
  NUGT     ⚪ HOLD         111.68    45.2   -12.38%
  SOFI     ⚪ HOLD          16.74    41.7    -3.58%
  CLSK     ⚪ HOLD          13.48    43.2    -6.66%
  MSTR     ⚪ HOLD          96.16    46.7   -11.48%
  COIN     ⚪ HOLD         167.90    54.9    +1.27%
  SPY      ⚪ HOLD         740.86    45.1    -0.03%
  QQQ      ⚪ HOLD         675.49    31.6    -4.19%
  IWM      ⚪ HOLD         293.37    48.1    +0.57%

============================================================
