============================================================
  株式シグナルレポート  2026-08-11
============================================================

【トレンドフォロー】
  銘柄       シグナル               終値     RSI       乖離率
  --------------------------------------------------
  AAPL     🔴 SELL         308.26    40.5    -1.32%
  SPXS     🔴 SELL          23.96    31.1    -9.51%
  NVDA     ⚪ HOLD         217.55    60.0    +5.17%
  AMD      ⚪ HOLD         469.56    43.0    -5.05%
  TSM      ⚪ HOLD         418.47    53.8    +0.60%
  INTC     ⚪ HOLD          97.52    47.8    -5.27%
  AVGO     ⚪ HOLD         422.40    66.0    +6.86%
  QCOM     ⚪ HOLD         162.17    45.8    -7.66%
  MU       ⚪ HOLD         861.00    45.9    -4.42%
  AMAT     ⚪ HOLD         522.12    47.1    -2.41%
  MSFT     ⚪ HOLD         506.06    83.7   +19.35%
  GOOGL    ⚪ HOLD         357.52    53.3    +1.01%
  META     ⚪ HOLD         594.92    49.1    -1.14%
  AMZN     ⚪ HOLD         278.09    68.7   +10.16%
  SOXL     ⚪ HOLD         130.00    45.1   -17.62%
  SOXS     ⚪ HOLD          45.21    40.4   -80.07%
  TQQQ     ⚪ HOLD          73.80    57.8    +3.99%
  SQQQ     ⚪ HOLD          37.73    39.7    -8.95%
  UPRO     ⚪ HOLD         154.98    68.9    +8.84%
  FNGG     ⚪ HOLD         268.23    73.0   +14.13%
  TECL     ⚪ HOLD         205.98    58.0    +6.28%
  TSLL     ⚪ HOLD           8.21    41.9   -20.38%
  NUGT     ⚪ HOLD         163.24    78.0   +25.77%
  SOFI     ⚪ HOLD          18.12    55.8    +3.80%
  CLSK     ⚪ HOLD          11.59    36.1   -17.13%
  MSTR     ⚪ HOLD          97.33    49.6    -6.72%
  COIN     ⚪ HOLD         148.68    42.9    -7.38%
  SPY      ⚪ HOLD         773.03    69.6    +3.31%
  QQQ      ⚪ HOLD         720.87    59.3    +2.20%
  IWM      ⚪ HOLD         299.98    58.1    +2.15%

【逆張り】
  銘柄       シグナル               終値     RSI       乖離率
  --------------------------------------------------
  NVDA     ⚪ HOLD         217.55    60.0    +5.17%
  AMD      ⚪ HOLD         469.56    43.0    -5.05%
  TSM      ⚪ HOLD         418.47    53.8    +0.60%
  INTC     ⚪ HOLD          97.52    47.8    -5.27%
  AVGO     ⚪ HOLD         422.40    66.0    +6.86%
  QCOM     ⚪ HOLD         162.17    45.8    -7.66%
  MU       ⚪ HOLD         861.00    45.9    -4.42%
  AMAT     ⚪ HOLD         522.12    47.1    -2.41%
  AAPL     ⚪ HOLD         308.26    40.5    -1.32%
  MSFT     ⚪ HOLD         506.06    83.7   +19.35%
  GOOGL    ⚪ HOLD         357.52    53.3    +1.01%
  META     ⚪ HOLD         594.92    49.1    -1.14%
  AMZN     ⚪ HOLD         278.09    68.7   +10.16%
  SOXL     ⚪ HOLD         130.00    45.1   -17.62%
  SOXS     ⚪ HOLD          45.21    40.4   -80.07%
  TQQQ     ⚪ HOLD          73.80    57.8    +3.99%
  SQQQ     ⚪ HOLD          37.73    39.7    -8.95%
  UPRO     ⚪ HOLD         154.98    68.9    +8.84%
  SPXS     ⚪ HOLD          23.96    31.1    -9.51%
  FNGG     ⚪ HOLD         268.23    73.0   +14.13%
  TECL     ⚪ HOLD         205.98    58.0    +6.28%
  TSLL     ⚪ HOLD           8.21    41.9   -20.38%
  NUGT     ⚪ HOLD         163.24    78.0   +25.77%
  SOFI     ⚪ HOLD          18.12    55.8    +3.80%
  CLSK     ⚪ HOLD          11.59    36.1   -17.13%
  MSTR     ⚪ HOLD          97.33    49.6    -6.72%
  COIN     ⚪ HOLD         148.68    42.9    -7.38%
  SPY      ⚪ HOLD         773.03    69.6    +3.31%
  QQQ      ⚪ HOLD         720.87    59.3    +2.20%
  IWM      ⚪ HOLD         299.98    58.1    +2.15%

============================================================
