============================================================
  株式シグナルレポート  2026-09-25
============================================================

【トレンドフォロー】
  銘柄       シグナル               終値     RSI       乖離率
  --------------------------------------------------
  META     🟢 BUY          744.10    80.7   +17.97%
  NVDA     ⚪ HOLD         225.51    56.9    +3.60%
  AMD      ⚪ HOLD         614.61    75.7   +19.95%
  TSM      ⚪ HOLD         446.57    63.5    +5.23%
  INTC     ⚪ HOLD         122.60    75.2   +19.77%
  AVGO     ⚪ HOLD         354.99    45.7    -3.76%
  QCOM     ⚪ HOLD         197.24    69.2   +11.93%
  MU       ⚪ HOLD        1071.88    65.4   +11.27%
  AMAT     ⚪ HOLD         474.38    57.9    -0.62%
  AAPL     ⚪ HOLD         337.02    64.7    +4.53%
  MSFT     ⚪ HOLD         500.59    55.0    +4.06%
  GOOGL    ⚪ HOLD         337.83    43.3    -2.19%
  AMZN     ⚪ HOLD         249.27    42.3    -2.37%
  SOXL     ⚪ HOLD         146.25    64.7   +12.59%
  SOXS     ⚪ HOLD          33.66    32.1   -59.07%
  TQQQ     ⚪ HOLD          78.66    65.9    +9.01%
  SQQQ     ⚪ HOLD          34.14    33.0   -10.74%
  UPRO     ⚪ HOLD         150.30    53.4    +1.75%
  SPXS     ⚪ HOLD          24.20    45.7    -2.46%
  FNGG     ⚪ HOLD         278.32    64.7    +8.17%
  TECL     ⚪ HOLD         231.00    70.3   +14.17%
  TSLL     ⚪ HOLD          10.39    63.5    +7.82%
  NUGT     ⚪ HOLD         168.35    42.6    -1.03%
  SOFI     ⚪ HOLD          16.55    37.5    -5.75%
  CLSK     ⚪ HOLD          14.46    60.2    +9.27%
  MSTR     ⚪ HOLD         162.20    67.7   +26.87%
  COIN     ⚪ HOLD         198.13    60.3   +12.48%
  SPY      ⚪ HOLD         767.81    54.9    +0.95%
  QQQ      ⚪ HOLD         741.21    67.0    +3.51%
  IWM      ⚪ HOLD         281.92    32.3    -3.23%

【逆張り】
  銘柄       シグナル               終値     RSI       乖離率
  --------------------------------------------------
  NVDA     ⚪ HOLD         225.51    56.9    +3.60%
  AMD      ⚪ HOLD         614.61    75.7   +19.95%
  TSM      ⚪ HOLD         446.57    63.5    +5.23%
  INTC     ⚪ HOLD         122.60    75.2   +19.77%
  AVGO     ⚪ HOLD         354.99    45.7    -3.76%
  QCOM     ⚪ HOLD         197.24    69.2   +11.93%
  MU       ⚪ HOLD        1071.88    65.4   +11.27%
  AMAT     ⚪ HOLD         474.38    57.9    -0.62%
  AAPL     ⚪ HOLD         337.02    64.7    +4.53%
  MSFT     ⚪ HOLD         500.59    55.0    +4.06%
  GOOGL    ⚪ HOLD         337.83    43.3    -2.19%
  META     ⚪ HOLD         744.10    80.7   +17.97%
  AMZN     ⚪ HOLD         249.27    42.3    -2.37%
  SOXL     ⚪ HOLD         146.25    64.7   +12.59%
  SOXS     ⚪ HOLD          33.66    32.1   -59.07%
  TQQQ     ⚪ HOLD          78.66    65.9    +9.01%
  SQQQ     ⚪ HOLD          34.14    33.0   -10.74%
  UPRO     ⚪ HOLD         150.30    53.4    +1.75%
  SPXS     ⚪ HOLD          24.20    45.7    -2.46%
  FNGG     ⚪ HOLD         278.32    64.7    +8.17%
  TECL     ⚪ HOLD         231.00    70.3   +14.17%
  TSLL     ⚪ HOLD          10.39    63.5    +7.82%
  NUGT     ⚪ HOLD         168.35    42.6    -1.03%
  SOFI     ⚪ HOLD          16.55    37.5    -5.75%
  CLSK     ⚪ HOLD          14.46    60.2    +9.27%
  MSTR     ⚪ HOLD         162.20    67.7   +26.87%
  COIN     ⚪ HOLD         198.13    60.3   +12.48%
  SPY      ⚪ HOLD         767.81    54.9    +0.95%
  QQQ      ⚪ HOLD         741.21    67.0    +3.51%
  IWM      ⚪ HOLD         281.92    32.3    -3.23%

============================================================
